start_trip_id,end_trip_id,start_route_id,end_route_id,start_agency_id,end_agency_id,start_route_short_name,end_route_short_name,start_route_name,end_route_name,start_trip_headsign,end_trip_headsign,start_stop_id,end_stop_id,start_stop_sequence,end_stop_sequence,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon,walking_distance_m,walking_path_coords
JR4I2_wTJ2Vb9ocgkUSNB-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,XxUPXIlZHVjWT_a7YqhHy,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Al-Bitash - El-Mawqaf El-Geded,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Al-Bitash,Train Station (El-Shohada Square),381,109,4,1,31.115138,29.794731,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
K1fkkoXPyuSsmQKdjzWHd-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,QcjXCusjL37XD0vtFPM_z,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Al-Seyouf (Falaky) - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),359,359,20,20,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
N7niHD4FSKKz4wzURqkFW-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,I4AY9d0_JCb661dki5jy7,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Amreyya - El-Mawqaf El-Geded,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Amreyya,Train Station (El-Shohada Square),121,109,11,1,31.02026222750052,29.794008947174,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
Q3pD-7jCAvuSmNTpcaPvZ-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,djf-0ENVceYNg5x6O7HGq,djf-0ENVceYNg5x6O7HGq,Bus,Bus,Bus 409,Bus 409,El-Nasreya El-Qadema - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),El-Nasreya El-Qadema,Train Station (El-Shohada Square),108,109,17,1,30.99838955961589,29.787748816714704,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
QyDZF4yDNAntbYpYmjfxj-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,8CWoTtootKoeWNjoE5oOP,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Hanuvil - Sidi Gabir,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Hanuvil,Train Station (El-Shohada Square),40,109,15,1,31.099970450948085,29.77256998379859,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
U_QqLo01UyKjXo_inGS9s-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,0fV-oHdZjqIXEVAq-5E7b,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Kilo 21 - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Kilo 21,Train Station (El-Shohada Square),7,109,5,1,31.0751035,29.7532603,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
WWP7DCP2cjGJxPZSN68Y2-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,V-tNyPwMd_7j2AAdXrBPe,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,El-Sa'ah (Clock Square) - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),359,359,18,20,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
YhJAaZa87Cn-vbr4gAMuB-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,lQGthxPF7d3FXnmoZFGLV,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,El-Mawqaf El-Geded - Kilo 21,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Kilo 21,Train Station (El-Shohada Square),7,109,3,1,31.0751035,29.7532603,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
ZBtB-FXg8HG9MZ8swYNuQ-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,50n7_gqFiIrgeNHtVzwF0,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Kilo 21 - Sidi Gabir,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Kilo 21,Train Station (El-Shohada Square),18,109,23,1,31.079196,29.736365,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
_roD5BmPMzsusHgRuqc29-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,pIaHBI4j1KA7mIDUenoKC,djf-0ENVceYNg5x6O7HGq,Bus,Bus,Bus 480,Bus 409,Abd El-Qader Al-Gadida - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Abd El-Qader Al-Gadida,Train Station (El-Shohada Square),392,119,10,4,31.078986379619767,29.84192124690812,31.00557668952639,29.80403897122041,0.0,"[[31.1344038, 29.8690676]]"
